meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
4000.0,-5.33,3.996,6.33,33.0,1431.0,6.0,556d0dc2c00cd721cce30dd1,-5.0,12000,3,25260.0,1
1000.0,55.0,3.895,5.85,50.0,602.0,13.0,547d7e413b64451274068583,55.0,2000,2,25631.0,1
1000.0,-16.0,4.061,7.0,100.0,442.0,6.0,58748c070e230b22a1ab5bc2,-16.0,1000,1,1369.0,1
100.0,-16.0,4.128,7.0,100.0,47.0,6.0,5512b0d98e8def07a462e1d7,-16.0,100,1,17655.0,1
5000.0,38.0,4.07,5.0,50.0,747.0,8.0,56c55a76cce1893c1b8a1716,38.0,10000,2,5019.0,1
100.0,30.0,3.802,7.5,50.0,11.0,10.0,5e4bb29957cc9b46d2e498f7,30.0,400,4,111.0,2
5000.0,-14.0,3.904,8.0,100.0,876.0,7.0,5a6166cbedd44230ea9c60dc,-14.0,5000,1,2510.0,1
1000.0,86.0,4.012,7.0,50.0,49.0,50.0,5d47dd864f7ba75f53d67c7c,86.0,2000,2,1290.0,1
10000.0,-14.0,3.961,8.0,100.0,1087.0,7.0,5833f721e18c0f15d659a8ed,-14.0,10000,1,4019.0,1
1000.0,-14.0,4.057,8.0,100.0,124.0,7.0,5ad16178db5f1f07107a5401,-14.0,1000,1,3950.0,1
1000.0,-9.0,3.979,12.0,100.0,428.0,11.0,57ee6909567a8d101913df98,-9.0,1000,1,18831.0,1
100.0,-4.5,3.975,7.0,50.0,9.0,6.5,5b47ffa01e5bc91f3eea4f1f,-4.0,400,4,366.0,2
1000.0,36.0,4.136,11.0,100.0,462.0,17.0,5b08f027c2586968afffb44f,36.0,1000,1,5880.0,1
100.0,14.0,4.429,13.0,50.0,55.0,15.0,582ff4f70299bc4f4b90d203,14.0,200,2,3276.0,1
2620.0,-11.6,3.886,9.78,40.0,804.0,8.6,57baf75f63834218e305e4f4,-12.0,13100,5,32858.0,2
75.0,-8.0,3.892,3.83,50.0,8.0,3.5,5d454f4056a26067881bb903,-8.0,150,2,268.0,1
10000.0,0.0,4.149,4.0,100.0,1412.0,4.0,59b88527b77173631729908e,0.0,10000,1,21412.0,1
1000.0,22.0,3.883,3.9,100.0,57.0,5.0,5d3be81670327a1a4ffce08e,22.0,1000,1,2072.0,1
1000.0,28.0,4.26,8.0,100.0,153.0,11.0,5ae0213bb722cf61f1aa3624,28.0,1000,1,2992.0,1
400.0,-14.0,4.218,16.0,33.0,97.0,14.0,5b0b907d59206904541886cf,-14.0,1200,3,514.0,1
100.0,-9.0,4.5,12.0,50.0,0.0,11.0,5e70afae21861a90a4e6b7f0,-9.0,200,2,6.0,1
550.0,-17.0,3.867,6.46,50.0,243.0,5.5,58aec90823ef726994a323fe,-17.0,1100,2,12134.0,1
1000.0,0.0,3.766,11.0,100.0,223.0,11.0,5ba0fe4673d934503a6cb6ad,0.0,1000,1,667.0,1
50.0,91.0,3.825,4.83,67.0,1.0,51.0,5e3c5fbfe217d492138970c1,91.0,150,3,57.0,2
100.0,0.0,3.937,4.0,100.0,24.0,4.0,58ef5b480d27561215655a9c,0.0,100,1,4572.0,1
5000.0,-14.0,3.946,8.0,100.0,309.0,7.0,578e02bec0e9340e993d13f4,-14.0,5000,1,5365.0,1
5000.0,49.0,3.96,14.0,100.0,1442.0,27.0,5b5a8a32f114fc2a4ca301d3,49.0,5000,1,7874.0,1
1000.0,15.0,3.95,6.0,100.0,258.0,7.0,55f982b029624842ab599cc3,15.0,1000,1,2685.0,1
